Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_date,Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Engagement_Score
NY-CMP-1015,"Paid Ads","Working Women","Facebook, Instagram, Email",Hindi,"Premium Shoppers",2024-10-06,23,28714,1511,441,158,33654,1648.61,-0.87,7.35
NY-CMP-1016,SEO,"College Students",WhatsApp,English,"College Students",2024-12-18,27,73474,4886,2344,1055,263750,272.28,-0.08,11.28
NY-CMP-1017,"Paid Ads","Premium Shoppers","Google, YouTube, Instagram",Hindi,"Premium Shoppers",2025-04-19,28,57060,1659,928,346,187186,448.86,0.21,5.14
NY-CMP-1018,SEO,"Tier 2 City Customers",WhatsApp,Tamil,"Working Women",2025-01-18,7,49784,1510,594,440,261800,115.42,4.16,5.11
NY-CMP-1019,"Paid Ads","College Students",Instagram,English,"Tier 2 City Customers",2025-02-16,21,55317,7847,1736,1079,715377,174.65,2.8,19.27
NY-CMP-1020,"Paid Ads","Premium Shoppers","Google, YouTube",Bengali,Youth,2024-08-27,27,10678,1217,524,163,111981,1124.19,-0.39,17.83
NY-CMP-1021,SEO,"Working Women","Instagram, YouTube, Google",Hindi,Youth,2025-01-30,22,27990,3508,761,385,155540,516.25,-0.22,16.63
NY-CMP-1022,Email,"Working Women","WhatsApp, YouTube",Bengali,"Premium Shoppers",2025-02-03,9,74423,3139,1622,1149,629652,89.52,5.12,7.94
NY-CMP-1023,SEO,"Working Women","Google, Email, WhatsApp",Bengali,"Tier 2 City Customers",2025-05-07,9,77708,4985,1363,916,632040,120.36,4.73,9.35
NY-CMP-1024,SEO,"Working Women","YouTube, Facebook",English,"Working Women",2025-03-10,21,89970,10679,4140,3003,1537536,69.87,6.33,19.81
NY-CMP-1025,SEO,"Working Women","Google, Facebook",Hindi,"Tier 2 City Customers",2024-11-17,25,96295,8911,2116,872,441232,148.17,2.41,12.36
NY-CMP-1026,Influencer,"Working Women","Google, Instagram, WhatsApp",Tamil,"College Students",2024-10-16,29,59234,4994,1531,892,226568,270.76,-0.06,12.52
NY-CMP-1027,"Social Media","Working Women",YouTube,Tamil,"Premium Shoppers",2025-02-10,15,74702,10110,5298,2481,1220652,49.62,8.91,23.95
NY-CMP-1028,"Paid Ads",Youth,"Instagram, Google, YouTube",Tamil,"College Students",2025-03-30,15,26353,3943,1879,746,458044,214.56,1.86,24.92
NY-CMP-1029,Email,Youth,"WhatsApp, Instagram, Email",English,Youth,2024-07-24,26,16978,1079,372,164,56908,1784.37,-0.81,9.51
NY-CMP-1030,SEO,"College Students",YouTube,English,Youth,2025-03-17,18,92924,9525,4340,2242,652422,27.28,9.67,17.33
NY-CMP-1031,SEO,"Working Women","Email, Facebook, WhatsApp",Hindi,"Premium Shoppers",2025-06-04,7,96549,13114,3791,1202,366610,74.34,3.1,18.75
NY-CMP-1032,"Social Media","Premium Shoppers","Instagram, WhatsApp, Facebook",Tamil,"Premium Shoppers",2025-05-09,17,72628,6488,1923,1181,243286,231.17,-0.11,13.21
NY-CMP-1033,"Social Media",Youth,"WhatsApp, Google, YouTube",English,Youth,2024-12-31,19,61270,3309,1588,582,346872,320.86,0.86,8.94
NY-CMP-1034,SEO,"College Students","Email, Facebook, YouTube",Tamil,"Working Women",2024-07-05,22,29199,1719,704,274,101928,727.09,-0.49,9.24
NY-CMP-1035,"Paid Ads","College Students","Google, Facebook, WhatsApp",Tamil,"Tier 2 City Customers",2024-10-12,11,19637,478,236,173,108471,498.5,0.26,4.52
NY-CMP-1036,Influencer,"Premium Shoppers","Facebook, Instagram, Email",Hindi,"Tier 2 City Customers",2024-12-07,19,23746,1503,747,458,101218,229.15,-0.04,11.4
NY-CMP-1037,"Paid Ads","Tier 2 City Customers","Facebook, YouTube, Email",Bengali,Youth,2024-10-18,6,53926,7219,1902,1105,339235,221.64,0.39,18.96
NY-CMP-1038,Influencer,"Premium Shoppers",Email,English,Youth,2025-03-22,6,35806,2631,999,365,198925,362.79,0.5,11.16
NY-CMP-1039,Email,"Premium Shoppers","Facebook, YouTube, Instagram",Bengali,Youth,2024-10-21,6,31729,2418,773,403,207142,400.55,0.28,11.33
NY-CMP-1040,Influencer,"Premium Shoppers",Email,English,"Tier 2 City Customers",2024-09-15,29,10338,864,412,299,127075,438.17,-0.03,15.24
NY-CMP-1041,"Paid Ads","Tier 2 City Customers","Instagram, WhatsApp, Facebook",Bengali,"College Students",2025-03-23,7,96095,12738,6327,2845,631590,56.36,2.94,22.8
NY-CMP-1042,Influencer,"Premium Shoppers","WhatsApp, YouTube, Instagram",Hindi,"Working Women",2024-08-31,7,96219,11237,5367,3599,910547,68.47,2.69,21
NY-CMP-1043,Influencer,"Premium Shoppers",YouTube,Tamil,"College Students",2025-05-29,30,37002,2753,979,780,371280,123.02,2.87,12.19
NY-CMP-1044,SEO,"College Students","Google, Instagram",Bengali,"Tier 2 City Customers",2025-04-26,29,65776,4977,1606,901,370311,74.44,4.52,11.38
NY-CMP-1045,"Social Media","Tier 2 City Customers",WhatsApp,English,"Premium Shoppers",2024-08-24,12,57520,3932,2101,1431,1027458,128.93,4.57,12.98
NY-CMP-1046,Email,"Working Women","Facebook, WhatsApp, Google",Bengali,Youth,2024-08-05,24,52752,5831,3299,2095,509085,139.77,0.74,21.28
NY-CMP-1047,"Social Media","College Students",YouTube,Hindi,"Working Women",2025-04-02,5,14944,1268,482,318,104304,319.84,0.03,13.84
NY-CMP-1048,Email,Youth,Instagram,Tamil,"Working Women",2024-08-22,22,53290,3905,1034,535,344540,131.77,3.89,10.27
NY-CMP-1049,SEO,"Working Women",Google,English,"Working Women",2025-03-04,14,41687,2215,911,568,358408,277.67,1.27,8.86
NY-CMP-1050,"Paid Ads","Working Women","WhatsApp, Facebook",English,"Working Women",2024-11-04,30,67932,9449,5194,3230,839800,33.28,6.81,26.31
NY-CMP-1051,Email,"Tier 2 City Customers","Google, YouTube",Hindi,"Premium Shoppers",2025-04-16,16,78991,6551,3460,2657,810385,49.89,5.11,16.04
NY-CMP-1052,"Social Media","Working Women","Facebook, Instagram, WhatsApp",Bengali,"Premium Shoppers",2024-11-15,12,97822,5691,2022,1271,579576,210.15,1.17,9.18
NY-CMP-1053,Email,"Tier 2 City Customers","YouTube, Facebook, Email",English,"Premium Shoppers",2024-08-07,14,77985,6461,3033,1379,995638,180.5,3,13.94
NY-CMP-1054,"Paid Ads","Working Women","Google, YouTube, Instagram",Tamil,"College Students",2025-06-13,12,82079,2124,1057,472,232224,620.82,-0.21,4.45
NY-CMP-1055,"Paid Ads","Tier 2 City Customers",Instagram,Bengali,"Premium Shoppers",2025-03-18,16,66781,8932,3662,1790,721370,150.42,1.68,21.54
NY-CMP-1056,Influencer,"Working Women","Email, Facebook",English,"Tier 2 City Customers",2024-07-27,11,72001,8840,2425,1271,846486,54.74,11.17,17.41
NY-CMP-1057,Email,Youth,"WhatsApp, YouTube",Hindi,"Tier 2 City Customers",2024-12-03,27,43454,5590,1836,1046,343088,182.35,0.8,19.5
NY-CMP-1058,Influencer,"College Students","Instagram, Google",Tamil,"Tier 2 City Customers",2025-02-13,28,24558,1700,671,326,235698,189.39,2.82,10.98
NY-CMP-1059,Email,"Tier 2 City Customers","Instagram, Email, YouTube",Bengali,"Tier 2 City Customers",2025-03-11,12,51784,3169,1762,1042,803382,141.09,4.46,11.53
NY-CMP-1060,SEO,"Tier 2 City Customers","YouTube, Facebook, Google",Bengali,"College Students",2025-01-10,12,61841,6086,2165,1542,1201218,38.2,19.39,15.84
NY-CMP-1061,SEO,Youth,Email,Bengali,Youth,2025-04-30,5,80683,2154,985,786,248376,244.18,0.29,4.86
NY-CMP-1062,Email,"Premium Shoppers","Facebook, Instagram",Bengali,"Tier 2 City Customers",2024-09-01,20,82701,4194,1345,869,323268,230.37,0.61,7.75
NY-CMP-1063,SEO,Youth,WhatsApp,Hindi,"College Students",2025-02-24,8,80457,9646,2336,1659,643692,125.03,2.1,16.95
NY-CMP-1064,SEO,"College Students","YouTube, WhatsApp",Hindi,Youth,2025-05-28,13,34565,819,304,211,137150,1099.71,-0.41,3.86
NY-CMP-1065,Email,"Working Women","YouTube, Facebook, Google",Tamil,"Tier 2 City Customers",2025-04-29,25,41740,1039,561,322,154882,328.9,0.46,4.6
NY-CMP-1066,"Social Media","College Students","Instagram, Google",Tamil,"Tier 2 City Customers",2024-08-17,29,28052,1240,513,377,166634,221.3,1,7.59
NY-CMP-1067,"Social Media",Youth,"WhatsApp, Facebook, YouTube",Tamil,"Premium Shoppers",2025-02-06,6,36769,2948,797,370,237170,576.24,0.11,11.19
NY-CMP-1068,Email,"College Students",WhatsApp,English,"Working Women",2025-03-25,26,59910,3712,1431,951,427950,303.73,0.48,10.17
NY-CMP-1069,"Social Media","Working Women","Google, WhatsApp",English,"Premium Shoppers",2024-07-12,20,51907,1717,484,275,137225,316.3,0.58,4.77
NY-CMP-1070,Email,"Working Women","Email, Instagram",English,"Tier 2 City Customers",2025-03-26,21,54847,7764,3946,1326,502554,50.86,6.45,23.77
NY-CMP-1071,"Social Media","Working Women",Google,Hindi,"Tier 2 City Customers",2024-12-23,11,68542,8178,3828,1207,280024,179.89,0.29,19.28
NY-CMP-1072,Influencer,"College Students","Google, YouTube",Tamil,"College Students",2024-12-27,17,73165,5735,2225,1582,1170680,143.08,4.17,13.04
NY-CMP-1073,Email,"Working Women","Instagram, YouTube",Hindi,"College Students",2024-09-15,17,26416,1545,401,226,68478,395.28,-0.23,8.22
NY-CMP-1074,Email,"Tier 2 City Customers","WhatsApp, Email, Google",Bengali,"Working Women",2024-08-29,11,97611,7838,2476,1741,541451,164.53,0.89,12.35
NY-CMP-1075,Email,"Premium Shoppers",YouTube,Bengali,"Working Women",2024-11-14,29,48871,6658,3972,2058,1636110,133.98,4.93,25.96
NY-CMP-1076,Influencer,"Tier 2 City Customers","Google, Facebook, Instagram",English,Youth,2024-07-07,24,74794,6057,1939,1470,799680,100.41,4.42,12.66
NY-CMP-1077,"Social Media","Premium Shoppers","Instagram, YouTube, WhatsApp",English,"Working Women",2025-02-23,13,37745,1091,361,114,45030,1000.73,-0.61,4.15
NY-CMP-1078,Email,"Working Women","Instagram, Facebook, Google",Bengali,"Premium Shoppers",2024-07-20,26,41410,905,449,156,75504,1252.69,-0.61,3.65
NY-CMP-1079,"Paid Ads","Premium Shoppers","Instagram, Email, YouTube",Bengali,"Premium Shoppers",2024-08-28,17,30448,4531,1041,767,546871,315.83,1.26,20.82
NY-CMP-1080,Email,"Working Women","Email, Google",Bengali,Youth,2025-03-09,6,79031,7614,1912,1166,719422,87.2,6.08,13.53
NY-CMP-1081,"Social Media",Youth,"Email, Instagram, WhatsApp",Hindi,"Working Women",2025-01-15,12,69794,3864,1627,923,318435,271.48,0.27,9.19
NY-CMP-1082,"Social Media","Tier 2 City Customers",Google,Hindi,"Working Women",2025-05-09,11,10613,1093,468,344,73272,693.71,-0.69,17.95
NY-CMP-1083,SEO,Youth,"WhatsApp, Facebook, Google",Hindi,"Premium Shoppers",2025-06-11,9,14824,1848,713,229,111294,542.97,-0.1,18.82
NY-CMP-1084,Influencer,"Tier 2 City Customers",WhatsApp,Tamil,"College Students",2024-11-06,22,38900,4362,1416,1056,291456,212.22,0.3,17.57
NY-CMP-1085,"Paid Ads",Youth,"Email, WhatsApp, Facebook",Hindi,"Premium Shoppers",2025-06-07,10,27040,1352,274,153,42075,460.92,-0.4,6.58
NY-CMP-1086,Influencer,"College Students","Facebook, Instagram",Bengali,Youth,2024-09-29,16,45406,2768,1052,747,511695,321.69,1.13,10.06
NY-CMP-1087,"Social Media","College Students","Instagram, Google",English,"College Students",2025-06-20,5,48041,2478,1229,553,311892,511.7,0.1,8.87
NY-CMP-1088,"Social Media","Working Women","Instagram, Facebook, Email",Bengali,"Working Women",2024-10-29,30,84207,6175,1941,1352,461032,214.63,0.59,11.24
NY-CMP-1089,"Social Media",Youth,"Google, WhatsApp",Hindi,"Tier 2 City Customers",2024-08-27,16,77548,1844,706,226,72772,1072.32,-0.7,3.58
NY-CMP-1090,Email,"Premium Shoppers","Instagram, Email",Tamil,"Tier 2 City Customers",2024-11-05,13,76619,7278,3935,1746,790938,152.82,1.96,16.91
NY-CMP-1091,SEO,"Tier 2 City Customers",YouTube,English,"Premium Shoppers",2025-04-10,21,37600,2906,1624,1006,690116,253.33,1.71,14.72
NY-CMP-1092,"Social Media","College Students","WhatsApp, Instagram, Google",Hindi,"Tier 2 City Customers",2025-04-12,7,32302,1239,367,156,124800,1295.52,-0.38,5.45
NY-CMP-1093,Email,"Premium Shoppers","Email, YouTube, WhatsApp",Hindi,"Working Women",2025-01-25,9,11042,459,189,96,60960,2660.53,-0.76,6.74
NY-CMP-1094,Influencer,"College Students",Google,Hindi,"Working Women",2024-08-05,18,12916,1058,269,84,23352,725.46,-0.62,10.92
NY-CMP-1095,"Paid Ads","Working Women","Google, Facebook, Instagram",English,Youth,2024-08-11,29,73403,7231,1683,766,311762,337.92,0.2,13.19
NY-CMP-1096,"Paid Ads","Premium Shoppers",Instagram,Tamil,Youth,2024-09-10,18,71114,1814,870,350,232750,827.25,-0.2,4.27
NY-CMP-1097,Email,"Working Women","Email, WhatsApp",Hindi,"Working Women",2024-11-23,21,96478,3700,1111,711,366876,282.59,0.83,5.72
NY-CMP-1098,SEO,"Working Women",Email,English,"Working Women",2024-11-19,21,96239,3852,2172,1568,460992,110.5,1.66,7.89
NY-CMP-1099,"Paid Ads","Working Women","Instagram, WhatsApp, Google",English,"Premium Shoppers",2025-03-24,22,15712,2049,698,518,161616,185.06,0.69,20.78
NY-CMP-1100,SEO,"Tier 2 City Customers","Email, Google, Facebook",Bengali,"Tier 2 City Customers",2025-01-08,5,65961,3729,1011,805,642390,117.32,5.8,8.41
NY-CMP-1101,Influencer,"Working Women","Google, Facebook",Hindi,Youth,2025-01-07,24,91963,9000,4091,1250,507500,150.39,1.7,15.59
NY-CMP-1102,"Social Media","Tier 2 City Customers","Email, Instagram, Facebook",Tamil,"Premium Shoppers",2024-10-20,10,41454,6034,2744,1271,441037,64.77,4.36,24.24
NY-CMP-1103,"Paid Ads","Premium Shoppers","Google, YouTube, WhatsApp",Bengali,"Working Women",2025-03-21,27,62808,3704,743,431,286615,207.69,2.2,7.77
NY-CMP-1104,"Social Media","College Students",WhatsApp,Hindi,"College Students",2025-05-31,16,44568,5722,2794,2033,742045,119.14,2.06,23.67
NY-CMP-1105,SEO,"Premium Shoppers","Email, WhatsApp",Bengali,"Working Women",2024-08-23,23,78393,10859,4614,2346,1381794,48.99,11.02,22.73
NY-CMP-1106,SEO,Youth,Google,Hindi,"Tier 2 City Customers",2024-11-05,16,36778,2873,976,338,240656,547.44,0.3,11.38
NY-CMP-1107,Influencer,Youth,Email,Tamil,"Tier 2 City Customers",2025-01-27,19,29254,3754,1868,942,399408,296.39,0.43,22.44
NY-CMP-1108,SEO,Youth,"Facebook, Instagram, YouTube",Hindi,Youth,2024-11-20,13,16762,1911,519,285,180405,1018.44,-0.38,16.2
NY-CMP-1109,Influencer,"College Students",Facebook,Bengali,"Premium Shoppers",2024-12-23,8,30349,1590,535,416,143104,130.39,1.64,8.37
NY-CMP-1110,"Paid Ads","Working Women","WhatsApp, Instagram, Google",Bengali,"College Students",2025-04-29,6,93228,5488,2887,1070,739370,249.36,1.77,10.13
NY-CMP-1111,Influencer,"College Students",Google,Bengali,"Premium Shoppers",2025-05-27,16,32725,917,353,262,133096,277.31,0.83,4.68
NY-CMP-1112,"Social Media","Tier 2 City Customers","Facebook, Google",Bengali,"Working Women",2025-06-19,6,37912,2193,1175,779,555427,69.68,9.23,10.94
NY-CMP-1113,Influencer,Youth,"WhatsApp, Facebook, Instagram",English,"Working Women",2024-09-13,28,84684,6830,3006,2183,1403669,37.23,16.27,14.19
NY-CMP-1114,"Social Media","Tier 2 City Customers","Facebook, Instagram, YouTube",Hindi,"College Students",2024-09-26,27,51006,7110,2461,769,432178,298.91,0.88,20.27
NY-CMP-1115,Influencer,"Working Women","WhatsApp, Facebook",Bengali,"Working Women",2025-05-10,10,71767,10510,5442,3276,1539720,60.15,6.81,26.79
NY-CMP-1116,"Paid Ads","College Students","WhatsApp, Facebook, YouTube",English,"Working Women",2024-08-23,17,92095,9825,4595,2248,1717472,34.81,20.95,18.1
NY-CMP-1117,"Paid Ads",Youth,Facebook,Hindi,"College Students",2024-12-15,20,74063,6065,1600,687,324951,297.63,0.59,11.28
NY-CMP-1118,"Social Media","Working Women","Instagram, YouTube, Google",English,"Premium Shoppers",2024-10-18,13,36974,3888,2249,752,407584,182.75,1.97,18.63
NY-CMP-1119,Email,"Premium Shoppers",YouTube,Tamil,Youth,2025-06-13,15,46818,3423,2031,1219,884994,154.12,3.71,14.25
NY-CMP-1120,Influencer,"Premium Shoppers",YouTube,English,"Tier 2 City Customers",2024-11-17,26,80082,10026,2337,1352,913952,80.25,7.42,17.13
NY-CMP-1121,Email,"Working Women","Instagram, Facebook",Bengali,"Premium Shoppers",2025-01-09,11,18334,2001,1096,868,402752,165.01,1.81,21.63
NY-CMP-1122,Influencer,"Working Women",Facebook,Hindi,"Premium Shoppers",2025-01-24,21,74764,8071,3586,1901,885866,155.84,1.99,18.13
NY-CMP-1123,"Social Media","Tier 2 City Customers","Instagram, Email",Hindi,"Premium Shoppers",2025-04-02,29,74129,2626,1462,1163,623368,141.12,2.8,7.08
NY-CMP-1124,Influencer,"Tier 2 City Customers",Facebook,Hindi,"Working Women",2025-05-19,29,27923,2989,1452,817,625822,359.28,1.13,18.83
NY-CMP-1125,"Paid Ads","College Students","Instagram, Facebook, Email",English,"Premium Shoppers",2024-12-15,28,19354,637,246,74,33522,1025.97,-0.56,4.94
NY-CMP-1126,"Social Media","Tier 2 City Customers","Instagram, Google",Bengali,"Tier 2 City Customers",2024-11-26,8,25188,1025,472,187,118558,480.96,0.32,6.69
NY-CMP-1127,Influencer,"Premium Shoppers",WhatsApp,Tamil,"College Students",2025-01-20,18,29617,2372,865,538,368530,168.8,3.06,12.75
NY-CMP-1128,SEO,"Premium Shoppers","Email, Instagram",Hindi,"Working Women",2024-12-04,27,25041,3511,991,379,223231,598.76,-0.02,19.49
NY-CMP-1129,"Social Media","Working Women","Email, Google",Hindi,Youth,2025-05-21,11,78990,2360,1125,732,453840,347.66,0.78,5.34
NY-CMP-1130,Email,Youth,Facebook,Hindi,Youth,2025-05-01,30,88461,2327,999,358,100956,410.1,-0.31,4.16
NY-CMP-1131,SEO,"Tier 2 City Customers",Email,Tamil,"Premium Shoppers",2025-06-04,16,16853,656,378,287,80073,1039.27,-0.73,7.84
NY-CMP-1132,SEO,"Working Women","WhatsApp, Google",Tamil,Youth,2025-04-29,20,83484,6219,2837,1554,536130,69.08,3.99,12.71
NY-CMP-1133,"Paid Ads","Premium Shoppers",Facebook,Tamil,"Working Women",2024-11-24,18,79948,1641,630,499,279440,465.08,0.2,3.46
NY-CMP-1134,SEO,"College Students","Email, Facebook",Tamil,"Premium Shoppers",2025-06-10,10,83836,9077,3824,1553,851044,106.54,4.14,17.24
NY-CMP-1135,"Paid Ads",Youth,"WhatsApp, Google",Bengali,"Tier 2 City Customers",2024-12-17,6,82314,11125,4379,1588,1056020,82.69,7.04,20.76
NY-CMP-1136,Email,Youth,"Instagram, YouTube, Google",Bengali,Youth,2024-12-17,13,15809,2154,449,305,195200,491.68,0.3,18.39
NY-CMP-1137,Influencer,"Working Women","Instagram, Facebook",Tamil,"Premium Shoppers",2025-01-22,21,23866,1157,471,295,98530,542.93,-0.38,8.06
NY-CMP-1138,SEO,"Premium Shoppers","WhatsApp, Google",English,"Tier 2 City Customers",2024-08-01,19,73044,3187,1759,569,385782,184.41,2.68,7.55
NY-CMP-1139,"Social Media","Tier 2 City Customers",Facebook,Hindi,"Premium Shoppers",2025-02-24,23,26385,2511,940,434,199640,653.94,-0.3,14.72
NY-CMP-1140,Email,"Premium Shoppers","Email, YouTube, Facebook",Tamil,"Tier 2 City Customers",2025-05-30,5,68710,8506,4996,3472,2249856,38.16,15.98,24.7
NY-CMP-1141,Email,"Premium Shoppers","Google, WhatsApp",Tamil,"College Students",2025-05-30,17,66210,5609,2776,1529,518331,101.69,2.33,14.97
NY-CMP-1142,SEO,"College Students","WhatsApp, Google, Email",English,"College Students",2025-04-07,10,29278,3293,1504,1073,716764,254.52,1.62,20.05
NY-CMP-1143,Email,"Premium Shoppers","WhatsApp, Instagram, YouTube",Bengali,Youth,2025-04-12,30,35430,4351,1006,682,403062,165.63,2.57,17.04
NY-CMP-1144,SEO,"College Students",Facebook,Hindi,"College Students",2024-09-03,14,13214,530,213,156,118872,1568.28,-0.51,6.8
NY-CMP-1145,Influencer,Youth,Instagram,Hindi,Youth,2025-01-12,20,54685,5423,2255,1052,724828,279.17,1.47,15.96
NY-CMP-1146,"Paid Ads","Premium Shoppers",Facebook,Hindi,"College Students",2024-11-19,15,40445,2689,1201,814,351648,75.35,4.73,11.63
NY-CMP-1147,Influencer,"Premium Shoppers","Email, Google",Bengali,"Premium Shoppers",2024-12-06,18,45821,2552,965,733,433936,245.74,1.41,9.28
NY-CMP-1148,Influencer,Youth,Instagram,English,"Premium Shoppers",2025-05-01,9,51791,2432,1287,638,304326,421.13,0.13,8.41
NY-CMP-1149,Influencer,"Tier 2 City Customers","Facebook, Email, YouTube",Hindi,"College Students",2025-02-17,20,82365,9920,2972,2086,1410136,43.11,14.68,18.18
NY-CMP-1150,SEO,"Premium Shoppers","Email, YouTube, Facebook",Tamil,"Working Women",2024-07-27,7,68867,5342,2966,1331,806586,174.47,2.47,14
NY-CMP-1151,Influencer,"College Students",Email,English,"Premium Shoppers",2025-03-30,13,28582,2086,630,411,286467,590.9,0.18,10.94
NY-CMP-1152,"Social Media","Tier 2 City Customers","Facebook, Instagram, WhatsApp",English,"Tier 2 City Customers",2024-12-11,5,51059,4666,1088,708,489228,175.27,2.94,12.66
NY-CMP-1153,Email,"College Students",Google,English,Youth,2024-12-19,24,45295,1953,473,282,126618,1037.53,-0.57,5.98
NY-CMP-1154,Email,"Premium Shoppers",Email,Bengali,"College Students",2025-01-14,18,17721,1182,499,348,244644,562.61,0.25,11.45
NY-CMP-1155,"Social Media","Working Women",Email,Tamil,"Premium Shoppers",2024-10-17,19,69264,4578,2686,1713,426537,68.25,2.65,12.96
NY-CMP-1156,Influencer,Youth,WhatsApp,Tamil,Youth,2025-03-11,20,59293,3248,1030,375,159375,543.29,-0.22,7.85
NY-CMP-1157,"Social Media","Working Women","Email, Instagram",Hindi,"Premium Shoppers",2025-03-18,21,95024,4526,2403,1110,698190,208.42,2.02,8.46
NY-CMP-1158,"Social Media","Premium Shoppers",Instagram,Bengali,"College Students",2025-04-11,9,90608,4315,1453,798,454860,278.28,1.05,7.25
NY-CMP-1159,Influencer,Youth,"YouTube, Email, WhatsApp",Hindi,"College Students",2025-02-28,23,82580,4262,1550,640,503040,111.02,6.08,7.81
NY-CMP-1160,"Paid Ads","Tier 2 City Customers","YouTube, Instagram, Email",Bengali,"Working Women",2024-07-30,30,63757,7705,2853,2135,1505175,121.85,4.79,19.91
NY-CMP-1161,"Social Media","Working Women","Email, Facebook, Instagram",Tamil,"College Students",2025-04-15,30,11624,517,212,107,24182,602.61,-0.62,7.19
NY-CMP-1162,Influencer,"College Students","Instagram, YouTube",Hindi,"Working Women",2024-12-08,14,80088,8372,4336,1362,659208,164.45,1.94,17.57
NY-CMP-1163,Email,"Tier 2 City Customers",Google,Tamil,"Working Women",2025-06-06,22,19512,1861,467,154,69454,749.47,-0.4,12.72
NY-CMP-1164,SEO,Youth,Email,Hindi,"Working Women",2025-03-31,17,88983,3681,1549,1150,326600,259.94,0.09,7.17
NY-CMP-1165,"Social Media","College Students","Facebook, Google, WhatsApp",Tamil,"Working Women",2024-07-17,7,17111,1661,476,293,221801,926.14,-0.18,14.2
NY-CMP-1166,SEO,"College Students","Email, YouTube, Facebook",English,"College Students",2025-04-21,24,34872,2630,1328,742,389550,288.64,0.82,13.48
NY-CMP-1167,"Paid Ads","Tier 2 City Customers",Email,Bengali,"Premium Shoppers",2025-03-19,10,25223,1517,427,205,151495,1092.03,-0.32,8.52
NY-CMP-1168,"Social Media","College Students","Instagram, Google",English,"Tier 2 City Customers",2024-08-23,24,48451,4172,1639,744,575856,194.41,2.98,13.53
NY-CMP-1169,Influencer,"College Students",WhatsApp,Tamil,Youth,2025-03-30,8,65218,3095,1207,605,203280,157.55,1.13,7.52
NY-CMP-1170,SEO,Youth,"Instagram, YouTube, WhatsApp",English,"Premium Shoppers",2025-04-13,14,67143,6270,1563,996,367524,172.55,1.14,13.15
NY-CMP-1171,"Paid Ads","College Students","Email, YouTube, Google",Bengali,"Tier 2 City Customers",2025-06-14,15,52106,6537,3340,2149,530803,87.02,1.84,23.08
NY-CMP-1172,SEO,"Premium Shoppers","Google, WhatsApp, YouTube",English,"Working Women",2024-09-05,16,47178,5999,1619,787,208555,108.26,1.45,17.82
NY-CMP-1173,"Social Media","College Students","WhatsApp, Instagram",English,"Premium Shoppers",2024-10-30,20,36818,4147,1962,821,605077,285.43,1.58,18.82
