Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_start_date,campaign_end_date,total_duration_days,impressions,clicks,leads,conversions,revenue,acquisition_cost,avg_roi,avg_engagement_score,ctr,cpc,conversion_rate,cpa,roas
NY-CMP-1014,"Paid Ads","Premium Shoppers",Instagram,Bengali,"College Students",2024-07-06,2024-07-06,5,38072,2591,1542,769,240697,369.75,-0.15,12.88,0.0681,0.1427055191045928,0.2968,0.48081924577373214,650.972278566599
NY-CMP-1015,"Paid Ads","Working Women","Facebook, Instagram, Email",Hindi,"Premium Shoppers",2024-10-06,2024-10-06,23,28714,1511,441,158,33654,1648.61,-0.87,7.35,0.0526,1.0910721376571806,0.1046,10.434240506329113,20.413560514615344
NY-CMP-1016,SEO,"College Students",WhatsApp,English,"College Students",2024-12-18,2024-12-18,27,73474,4886,2344,1055,263750,272.28,-0.08,11.28,0.0665,0.0557265656979124,0.2159,0.258085308056872,968.6719553400911
NY-CMP-1017,"Paid Ads","Premium Shoppers","Google, YouTube, Instagram",Hindi,"Premium Shoppers",2025-04-19,2025-04-19,28,57060,1659,928,346,187186,448.86,0.21,5.14,0.0291,0.2705605786618445,0.2086,1.2972832369942198,417.02535311678474
NY-CMP-1018,SEO,"Tier 2 City Customers",WhatsApp,Tamil,"Working Women",2025-01-18,2025-01-18,7,49784,1510,594,440,261800,115.42,4.16,5.11,0.0303,0.07643708609271524,0.2914,0.26231818181818184,2268.2377404262693
NY-CMP-1019,"Paid Ads","College Students",Instagram,English,"Tier 2 City Customers",2025-02-16,2025-02-16,21,55317,7847,1736,1079,715377,174.65,2.8,19.27,0.1419,0.02225691347011597,0.1375,0.16186283595922152,4096.0606928142
NY-CMP-1020,"Paid Ads","Premium Shoppers","Google, YouTube",Bengali,Youth,2024-08-27,2024-08-27,27,10678,1217,524,163,111981,1124.19,-0.39,17.83,0.1140,0.9237387017255547,0.1339,6.896871165644172,99.61038614469084
NY-CMP-1021,SEO,"Working Women","Instagram, YouTube, Google",Hindi,Youth,2025-01-30,2025-01-30,22,27990,3508,761,385,155540,516.25,-0.22,16.63,0.1253,0.1471636259977195,0.1097,1.3409090909090908,301.2881355932203
NY-CMP-1022,Email,"Working Women","WhatsApp, YouTube",Bengali,"Premium Shoppers",2025-02-03,2025-02-03,9,74423,3139,1622,1149,629652,89.52,5.12,7.94,0.0422,0.028518636508442177,0.3660,0.077911227154047,7033.646112600536
NY-CMP-1023,SEO,"Working Women","Google, Email, WhatsApp",Bengali,"Tier 2 City Customers",2025-05-07,2025-05-07,9,77708,4985,1363,916,632040,120.36,4.73,9.35,0.0642,0.0241444332998997,0.1838,0.13139737991266376,5251.246261216351
NY-CMP-1024,SEO,"Working Women","YouTube, Facebook",English,"Working Women",2025-03-10,2025-03-10,21,89970,10679,4140,3003,1537536,69.87,6.33,19.81,0.1187,0.0065427474482629465,0.2812,0.02326673326673327,22005.667668527265
NY-CMP-1025,SEO,"Working Women","Google, Facebook",Hindi,"Tier 2 City Customers",2024-11-17,2024-11-17,25,96295,8911,2116,872,441232,148.17,2.41,12.36,0.0925,0.016627763438446862,0.0979,0.16991972477064218,2977.8767631774317
NY-CMP-1026,Influencer,"Working Women","Google, Instagram, WhatsApp",Tamil,"College Students",2024-10-16,2024-10-16,29,59234,4994,1531,892,226568,270.76,-0.06,12.52,0.0843,0.05421706047256708,0.1786,0.30354260089686097,836.7853449549417
NY-CMP-1027,"Social Media","Working Women",YouTube,Tamil,"Premium Shoppers",2025-02-10,2025-02-10,15,74702,10110,5298,2481,1220652,49.62,8.91,23.95,0.1353,0.004908011869436201,0.2454,0.02,24600
NY-CMP-1028,"Paid Ads",Youth,"Instagram, Google, YouTube",Tamil,"College Students",2025-03-30,2025-03-30,15,26353,3943,1879,746,458044,214.56,1.86,24.92,0.1496,0.05441541973116916,0.1892,0.28761394101876675,2134.806114839672
NY-CMP-1029,Email,Youth,"WhatsApp, Instagram, Email",English,Youth,2024-07-24,2024-07-24,26,16978,1079,372,164,56908,1784.37,-0.81,9.51,0.0636,1.653725671918443,0.1520,10.88030487804878,31.892488665467365
NY-CMP-1030,SEO,"College Students",YouTube,English,Youth,2025-03-17,2025-03-17,18,92924,9525,4340,2242,652422,27.28,9.67,17.33,0.1025,0.0028640419947506563,0.2354,0.01216770740410348,23915.762463343108
NY-CMP-1031,SEO,"Working Women","Email, Facebook, WhatsApp",Hindi,"Premium Shoppers",2025-06-04,2025-06-04,7,96549,13114,3791,1202,366610,74.34,3.1,18.75,0.1358,0.005668750953179808,0.0917,0.061846921797004996,4931.53080441216
NY-CMP-1032,"Social Media","Premium Shoppers","Instagram, WhatsApp, Facebook",Tamil,"Premium Shoppers",2025-05-09,2025-05-09,17,72628,6488,1923,1181,243286,231.17,-0.11,13.21,0.0893,0.03563039457459926,0.1820,0.19574089754445384,1052.4116451096595
NY-CMP-1033,"Social Media",Youth,"WhatsApp, Google, YouTube",English,Youth,2024-12-31,2024-12-31,19,61270,3309,1588,582,346872,320.86,0.86,8.94,0.0540,0.09696585071018435,0.1759,0.5513058419243987,1081.0696253817864
NY-CMP-1034,SEO,"College Students","Email, Facebook, YouTube",Tamil,"Working Women",2024-07-05,2024-07-05,22,29199,1719,704,274,101928,727.09,-0.49,9.24,0.0589,0.42297265852239674,0.1594,2.6536131386861315,140.1862217882243
NY-CMP-1035,"Paid Ads","College Students","Google, Facebook, WhatsApp",Tamil,"Tier 2 City Customers",2024-10-12,2024-10-12,11,19637,478,236,173,108471,498.5,0.26,4.52,0.0243,1.042887029288703,0.3619,2.8815028901734103,217.59478435305917
NY-CMP-1036,Influencer,"Premium Shoppers","Facebook, Instagram, Email",Hindi,"Tier 2 City Customers",2024-12-07,2024-12-07,19,23746,1503,747,458,101218,229.15,-0.04,11.4,0.0633,0.15246174318030606,0.3047,0.5003275109170305,441.7106698668994
NY-CMP-1037,"Paid Ads","Tier 2 City Customers","Facebook, YouTube, Email",Bengali,Youth,2024-10-18,2024-10-18,6,53926,7219,1902,1105,339235,221.64,0.39,18.96,0.1339,0.030702313339797754,0.1531,0.20057918552036197,1530.567587078145
NY-CMP-1038,Influencer,"Premium Shoppers",Email,English,Youth,2025-03-22,2025-03-22,6,35806,2631,999,365,198925,362.79,0.5,11.16,0.0735,0.13789053591790196,0.1387,0.9939452054794521,548.3199647178808
NY-CMP-1039,Email,"Premium Shoppers","Facebook, YouTube, Instagram",Bengali,Youth,2024-10-21,2024-10-21,6,31729,2418,773,403,207142,400.55,0.28,11.33,0.0762,0.16565343258891646,0.1667,0.9939205955334988,517.1439271002372
NY-CMP-1040,Influencer,"Premium Shoppers",Email,English,"Tier 2 City Customers",2024-09-15,2024-09-15,29,10338,864,412,299,127075,438.17,-0.03,15.24,0.0836,0.5071412037037037,0.3461,1.4654515050167225,290.01300864961087
NY-CMP-1041,"Paid Ads","Tier 2 City Customers","Instagram, WhatsApp, Facebook",Bengali,"College Students",2025-03-23,2025-03-23,7,96095,12738,6327,2845,631590,56.36,2.94,22.8,0.1326,0.004424556445281834,0.2233,0.019810193321616872,11206.352022711142
NY-CMP-1042,Influencer,"Premium Shoppers","WhatsApp, YouTube, Instagram",Hindi,"Working Women",2024-08-31,2024-08-31,7,96219,11237,5367,3599,910547,68.47,2.69,21,0.1168,0.006093263326510634,0.3203,0.019024729091414283,13298.481086607273
NY-CMP-1043,Influencer,"Premium Shoppers",YouTube,Tamil,"College Students",2025-05-29,2025-05-29,30,37002,2753,979,780,371280,123.02,2.87,12.19,0.0744,0.04468579731202325,0.2833,0.15771794871794872,3018.0458462038696
NY-CMP-1044,SEO,"College Students","Google, Instagram",Bengali,"Tier 2 City Customers",2025-04-26,2025-04-26,29,65776,4977,1606,901,370311,74.44,4.52,11.38,0.0757,0.014956801285915209,0.1810,0.08261931187569367,4974.623858140784
NY-CMP-1045,"Social Media","Tier 2 City Customers",WhatsApp,English,"Premium Shoppers",2024-08-24,2024-08-24,12,57520,3932,2101,1431,1027458,128.93,4.57,12.98,0.0684,0.03278992878942014,0.3639,0.09009783368273935,7969.115023656247
NY-CMP-1046,Email,"Working Women","Facebook, WhatsApp, Google",Bengali,Youth,2024-08-05,2024-08-05,24,52752,5831,3299,2095,509085,139.77,0.74,21.28,0.1105,0.023970159492368377,0.3593,0.06671599045346062,3642.3052157115258
NY-CMP-1047,"Social Media","College Students",YouTube,Hindi,"Working Women",2025-04-02,2025-04-02,5,14944,1268,482,318,104304,319.84,0.03,13.84,0.0849,0.25223974763406937,0.2508,1.0057861635220124,326.11305652826417
NY-CMP-1048,Email,Youth,Instagram,Tamil,"Working Women",2024-08-22,2024-08-22,22,53290,3905,1034,535,344540,131.77,3.89,10.27,0.0733,0.03374391805377721,0.1370,0.24629906542056076,2614.7074447901646
NY-CMP-1049,SEO,"Working Women",Google,English,"Working Women",2025-03-04,2025-03-04,14,41687,2215,911,568,358408,277.67,1.27,8.86,0.0531,0.12535891647855532,0.2564,0.48885563380281694,1290.7696186120213
NY-CMP-1050,"Paid Ads","Working Women","WhatsApp, Facebook",English,"Working Women",2024-11-04,2024-11-04,30,67932,9449,5194,3230,839800,33.28,6.81,26.31,0.1391,0.0035220658270716477,0.3418,0.010303405572755418,25234.375
NY-CMP-1051,Email,"Tier 2 City Customers","Google, YouTube",Hindi,"Premium Shoppers",2025-04-16,2025-04-16,16,78991,6551,3460,2657,810385,49.89,5.11,16.04,0.0829,0.007615631201343306,0.4056,0.018776815957847196,16243.435558228102
NY-CMP-1052,"Social Media","Working Women","Facebook, Instagram, WhatsApp",Bengali,"Premium Shoppers",2024-11-15,2024-11-15,12,97822,5691,2022,1271,579576,210.15,1.17,9.18,0.0582,0.03692672641012124,0.2233,0.16534225019669552,2757.9157744468234
NY-CMP-1053,Email,"Tier 2 City Customers","YouTube, Facebook, Email",English,"Premium Shoppers",2024-08-07,2024-08-07,14,77985,6461,3033,1379,995638,180.5,3,13.94,0.0828,0.02793685188051385,0.2134,0.130891950688905,5516
NY-CMP-1054,"Paid Ads","Working Women","Google, YouTube, Instagram",Tamil,"College Students",2025-06-13,2025-06-13,12,82079,2124,1057,472,232224,620.82,-0.21,4.45,0.0259,0.29228813559322037,0.2222,1.3152966101694916,374.06011404271766
NY-CMP-1055,"Paid Ads","Tier 2 City Customers",Instagram,Bengali,"Premium Shoppers",2025-03-18,2025-03-18,16,66781,8932,3662,1790,721370,150.42,1.68,21.54,0.1338,0.016840573219883564,0.2004,0.08403351955307262,4795.705358330009
NY-CMP-1056,Influencer,"Working Women","Email, Facebook",English,"Tier 2 City Customers",2024-07-27,2024-07-27,11,72001,8840,2425,1271,846486,54.74,11.17,17.41,0.1228,0.006192307692307692,0.1438,0.0430684500393391,15463.755937157472
NY-CMP-1057,Email,Youth,"WhatsApp, YouTube",Hindi,"Tier 2 City Customers",2024-12-03,2024-12-03,27,43454,5590,1836,1046,343088,182.35,0.8,19.5,0.1286,0.032620751341681575,0.1871,0.17433078393881452,1881.4806690430491
NY-CMP-1058,Influencer,"College Students","Instagram, Google",Tamil,"Tier 2 City Customers",2025-02-13,2025-02-13,28,24558,1700,671,326,235698,189.39,2.82,10.98,0.0692,0.11140588235294117,0.1918,0.5809509202453987,1244.5113258355775
NY-CMP-1059,Email,"Tier 2 City Customers","Instagram, Email, YouTube",Bengali,"Tier 2 City Customers",2025-03-11,2025-03-11,12,51784,3169,1762,1042,803382,141.09,4.46,11.53,0.0612,0.04452193120858315,0.3288,0.13540307101727447,5694.110142462258
NY-CMP-1060,SEO,"Tier 2 City Customers","YouTube, Facebook, Google",Bengali,"College Students",2025-01-10,2025-01-10,12,61841,6086,2165,1542,1201218,38.2,19.39,15.84,0.0984,0.0062767006243838325,0.2534,0.024773022049286643,31445.49738219895
NY-CMP-1061,SEO,Youth,Email,Bengali,Youth,2025-04-30,2025-04-30,5,80683,2154,985,786,248376,244.18,0.29,4.86,0.0267,0.11336118848653667,0.3649,0.3106615776081425,1017.1840445572938
NY-CMP-1062,Email,"Premium Shoppers","Facebook, Instagram",Bengali,"Tier 2 City Customers",2024-09-01,2024-09-01,20,82701,4194,1345,869,323268,230.37,0.61,7.75,0.0507,0.05492846924177396,0.2072,0.2650978135788262,1403.2556322437817
NY-CMP-1063,SEO,Youth,WhatsApp,Hindi,"College Students",2025-02-24,2025-02-24,8,80457,9646,2336,1659,643692,125.03,2.1,16.95,0.1199,0.012961849471283433,0.1720,0.07536467751657625,5148.300407902104
NY-CMP-1064,SEO,"College Students","YouTube, WhatsApp",Hindi,Youth,2025-05-28,2025-05-28,13,34565,819,304,211,137150,1099.71,-0.41,3.86,0.0237,1.3427472527472528,0.2576,5.211895734597157,124.71469751116203
NY-CMP-1065,Email,"Working Women","YouTube, Facebook, Google",Tamil,"Tier 2 City Customers",2025-04-29,2025-04-29,25,41740,1039,561,322,154882,328.9,0.46,4.6,0.0249,0.31655437921077956,0.3099,1.0214285714285714,470.90909090909093
NY-CMP-1066,"Social Media","College Students","Instagram, Google",Tamil,"Tier 2 City Customers",2024-08-17,2024-08-17,29,28052,1240,513,377,166634,221.3,1,7.59,0.0442,0.17846774193548387,0.3040,0.5870026525198939,752.9778581111613
NY-CMP-1067,"Social Media",Youth,"WhatsApp, Facebook, YouTube",Tamil,"Premium Shoppers",2025-02-06,2025-02-06,6,36769,2948,797,370,237170,576.24,0.11,11.19,0.0802,0.19546811397557667,0.1255,1.5574054054054054,411.5819797306678
NY-CMP-1068,Email,"College Students",WhatsApp,English,"Working Women",2025-03-25,2025-03-25,26,59910,3712,1431,951,427950,303.73,0.48,10.17,0.0620,0.08182381465517242,0.2562,0.3193796004206099,1408.9816613439568
NY-CMP-1069,"Social Media","Working Women","Google, WhatsApp",English,"Premium Shoppers",2024-07-12,2024-07-12,20,51907,1717,484,275,137225,316.3,0.58,4.77,0.0331,0.18421665695981362,0.1602,1.1501818181818182,433.84445147012326
NY-CMP-1070,Email,"Working Women","Email, Instagram",English,"Tier 2 City Customers",2025-03-26,2025-03-26,21,54847,7764,3946,1326,502554,50.86,6.45,23.77,0.1416,0.00655074703760948,0.1708,0.03835595776772247,9881.124655918207
NY-CMP-1071,"Social Media","Working Women",Google,Hindi,"Tier 2 City Customers",2024-12-23,2024-12-23,11,68542,8178,3828,1207,280024,179.89,0.29,19.28,0.1193,0.021996820738566885,0.1476,0.14903893951946975,1556.640168992162
NY-CMP-1072,Influencer,"College Students","Google, YouTube",Tamil,"College Students",2024-12-27,2024-12-27,17,73165,5735,2225,1582,1170680,143.08,4.17,13.04,0.0784,0.0249485614646905,0.2759,0.09044247787610621,8181.996086105674
NY-CMP-1073,Email,"Working Women","Instagram, YouTube",Hindi,"College Students",2024-09-15,2024-09-15,17,26416,1545,401,226,68478,395.28,-0.23,8.22,0.0585,0.25584466019417473,0.1463,1.7490265486725662,173.23922282938676
NY-CMP-1074,Email,"Tier 2 City Customers","WhatsApp, Email, Google",Bengali,"Working Women",2024-08-29,2024-08-29,11,97611,7838,2476,1741,541451,164.53,0.89,12.35,0.0803,0.020991324317427916,0.2221,0.09450315910396324,3290.895277456999
NY-CMP-1075,Email,"Premium Shoppers",YouTube,Bengali,"Working Women",2024-11-14,2024-11-14,29,48871,6658,3972,2058,1636110,133.98,4.93,25.96,0.1362,0.02012316010814058,0.3091,0.06510204081632652,12211.598746081505
NY-CMP-1076,Influencer,"Tier 2 City Customers","Google, Facebook, Instagram",English,Youth,2024-07-07,2024-07-07,24,74794,6057,1939,1470,799680,100.41,4.42,12.66,0.0810,0.016577513620604258,0.2427,0.06830612244897959,7964.146997311025
NY-CMP-1077,"Social Media","Premium Shoppers","Instagram, YouTube, WhatsApp",English,"Working Women",2025-02-23,2025-02-23,13,37745,1091,361,114,45030,1000.73,-0.61,4.15,0.0289,0.9172593950504124,0.1045,8.778333333333334,44.99715207898234
NY-CMP-1078,Email,"Working Women","Instagram, Facebook, Google",Bengali,"Premium Shoppers",2024-07-20,2024-07-20,26,41410,905,449,156,75504,1252.69,-0.61,3.65,0.0219,1.3841878453038674,0.1724,8.030064102564102,60.27349144640733
NY-CMP-1079,"Paid Ads","Premium Shoppers","Instagram, Email, YouTube",Bengali,"Premium Shoppers",2024-08-28,2024-08-28,17,30448,4531,1041,767,546871,315.83,1.26,20.82,0.1488,0.06970425954535422,0.1693,0.4117731421121251,1731.5359528860463
NY-CMP-1080,Email,"Working Women","Email, Google",Bengali,Youth,2025-03-09,2025-03-09,6,79031,7614,1912,1166,719422,87.2,6.08,13.53,0.0963,0.011452587339112162,0.1531,0.07478559176672385,8250.252293577982
NY-CMP-1081,"Social Media",Youth,"Email, Instagram, WhatsApp",Hindi,"Working Women",2025-01-15,2025-01-15,12,69794,3864,1627,923,318435,271.48,0.27,9.19,0.0554,0.07025879917184265,0.2389,0.2941278439869989,1172.9593340209224
NY-CMP-1082,"Social Media","Tier 2 City Customers",Google,Hindi,"Working Women",2025-05-09,2025-05-09,11,10613,1093,468,344,73272,693.71,-0.69,17.95,0.1030,0.6346843549862763,0.3147,2.0165988372093024,105.62338729440255
NY-CMP-1083,SEO,Youth,"WhatsApp, Facebook, Google",Hindi,"Premium Shoppers",2025-06-11,2025-06-11,9,14824,1848,713,229,111294,542.97,-0.1,18.82,0.1247,0.29381493506493506,0.1239,2.371048034934498,204.9726504226753
NY-CMP-1084,Influencer,"Tier 2 City Customers",WhatsApp,Tamil,"College Students",2024-11-06,2024-11-06,22,38900,4362,1416,1056,291456,212.22,0.3,17.57,0.1121,0.048651994497936724,0.2421,0.20096590909090908,1373.3672603901612
NY-CMP-1085,"Paid Ads",Youth,"Email, WhatsApp, Facebook",Hindi,"Premium Shoppers",2025-06-07,2025-06-07,10,27040,1352,274,153,42075,460.92,-0.4,6.58,0.0500,0.3409171597633136,0.1132,3.0125490196078433,91.28482166102577
NY-CMP-1086,Influencer,"College Students","Facebook, Instagram",Bengali,Youth,2024-09-29,2024-09-29,16,45406,2768,1052,747,511695,321.69,1.13,10.06,0.0610,0.11621748554913294,0.2699,0.4306425702811245,1590.6462743635177
NY-CMP-1087,"Social Media","College Students","Instagram, Google",English,"College Students",2025-06-20,2025-06-20,5,48041,2478,1229,553,311892,511.7,0.1,8.87,0.0516,0.20649717514124294,0.2232,0.9253164556962025,609.5212038303694
NY-CMP-1088,"Social Media","Working Women","Instagram, Facebook, Email",Bengali,"Working Women",2024-10-29,2024-10-29,30,84207,6175,1941,1352,461032,214.63,0.59,11.24,0.0733,0.034757894736842106,0.2189,0.15875,2148.031496062992
NY-CMP-1089,"Social Media",Youth,"Google, WhatsApp",Hindi,"Tier 2 City Customers",2024-08-27,2024-08-27,16,77548,1844,706,226,72772,1072.32,-0.7,3.58,0.0238,0.5815184381778742,0.1226,4.744778761061947,67.8640704267383
NY-CMP-1090,Email,"Premium Shoppers","Instagram, Email",Tamil,"Tier 2 City Customers",2024-11-05,2024-11-05,13,76619,7278,3935,1746,790938,152.82,1.96,16.91,0.0950,0.02099752679307502,0.2399,0.08752577319587629,5175.618374558304
NY-CMP-1091,SEO,"Tier 2 City Customers",YouTube,English,"Premium Shoppers",2025-04-10,2025-04-10,21,37600,2906,1624,1006,690116,253.33,1.71,14.72,0.0773,0.08717481073640744,0.3462,0.25181908548707754,2724.1779497098646
NY-CMP-1092,"Social Media","College Students","WhatsApp, Instagram, Google",Hindi,"Tier 2 City Customers",2025-04-12,2025-04-12,7,32302,1239,367,156,124800,1295.52,-0.38,5.45,0.0384,1.0456174334140436,0.1259,8.304615384615385,96.33197480548351
NY-CMP-1093,Email,"Premium Shoppers","Email, YouTube, WhatsApp",Hindi,"Working Women",2025-01-25,2025-01-25,9,11042,459,189,96,60960,2660.53,-0.76,6.74,0.0416,5.7963616557734206,0.2092,27.713854166666668,22.912727915114655
NY-CMP-1094,Influencer,"College Students",Google,Hindi,"Working Women",2024-08-05,2024-08-05,18,12916,1058,269,84,23352,725.46,-0.62,10.92,0.0819,0.6856899810964083,0.0794,8.636428571428572,32.18923165991233
NY-CMP-1095,"Paid Ads","Working Women","Google, Facebook, Instagram",English,Youth,2024-08-11,2024-08-11,29,73403,7231,1683,766,311762,337.92,0.2,13.19,0.0985,0.04673212557046052,0.1059,0.4411488250652742,922.5911458333333
NY-CMP-1096,"Paid Ads","Premium Shoppers",Instagram,Tamil,Youth,2024-09-10,2024-09-10,18,71114,1814,870,350,232750,827.25,-0.2,4.27,0.0255,0.4560363836824697,0.1929,2.3635714285714284,281.3538833484436
NY-CMP-1097,Email,"Working Women","Email, WhatsApp",Hindi,"Working Women",2024-11-23,2024-11-23,21,96478,3700,1111,711,366876,282.59,0.83,5.72,0.0384,0.07637567567567567,0.1922,0.3974542897327707,1298.2625004423371
NY-CMP-1098,SEO,"Working Women",Email,English,"Working Women",2024-11-19,2024-11-19,21,96239,3852,2172,1568,460992,110.5,1.66,7.89,0.0400,0.028686396677050884,0.4071,0.07047193877551021,4171.873303167421
NY-CMP-1099,"Paid Ads","Working Women","Instagram, WhatsApp, Google",English,"Premium Shoppers",2025-03-24,2025-03-24,22,15712,2049,698,518,161616,185.06,0.69,20.78,0.1304,0.09031722791605662,0.2528,0.35725868725868726,873.3167621312007
NY-CMP-1100,SEO,"Tier 2 City Customers","Email, Google, Facebook",Bengali,"Tier 2 City Customers",2025-01-08,2025-01-08,5,65961,3729,1011,805,642390,117.32,5.8,8.41,0.0565,0.03146151783319925,0.2159,0.1457391304347826,5475.536992840096
NY-CMP-1101,Influencer,"Working Women","Google, Facebook",Hindi,Youth,2025-01-07,2025-01-07,24,91963,9000,4091,1250,507500,150.39,1.7,15.59,0.0979,0.01671,0.1389,0.12031199999999999,3374.5594786887427
NY-CMP-1102,"Social Media","Tier 2 City Customers","Email, Instagram, Facebook",Tamil,"Premium Shoppers",2024-10-20,2024-10-20,10,41454,6034,2744,1271,441037,64.77,4.36,24.24,0.1456,0.01073417301955585,0.2106,0.05095987411487018,6809.278987185426
NY-CMP-1103,"Paid Ads","Premium Shoppers","Google, YouTube, WhatsApp",Bengali,"Working Women",2025-03-21,2025-03-21,27,62808,3704,743,431,286615,207.69,2.2,7.77,0.0590,0.05607181425485961,0.1164,0.4818793503480278,1380.0134816312775
NY-CMP-1104,"Social Media","College Students",WhatsApp,Hindi,"College Students",2025-05-31,2025-05-31,16,44568,5722,2794,2033,742045,119.14,2.06,23.67,0.1284,0.02082139112198532,0.3553,0.05860304968027546,6228.344804431761
NY-CMP-1105,SEO,"Premium Shoppers","Email, WhatsApp",Bengali,"Working Women",2024-08-23,2024-08-23,23,78393,10859,4614,2346,1381794,48.99,11.02,22.73,0.1385,0.004511465144120085,0.2160,0.02088235294117647,28205.6338028169
NY-CMP-1106,SEO,Youth,Google,Hindi,"Tier 2 City Customers",2024-11-05,2024-11-05,16,36778,2873,976,338,240656,547.44,0.3,11.38,0.0781,0.1905464671075531,0.1176,1.6196449704142013,439.6025135174631
NY-CMP-1107,Influencer,Youth,Email,Tamil,"Tier 2 City Customers",2025-01-27,2025-01-27,19,29254,3754,1868,942,399408,296.39,0.43,22.44,0.1283,0.07895311667554608,0.2509,0.31463906581740975,1347.5758291440332
NY-CMP-1108,SEO,Youth,"Facebook, Instagram, YouTube",Hindi,Youth,2024-11-20,2024-11-20,13,16762,1911,519,285,180405,1018.44,-0.38,16.2,0.1140,0.5329356357927787,0.1491,3.5734736842105264,177.1385648639095
NY-CMP-1109,Influencer,"College Students",Facebook,Bengali,"Premium Shoppers",2024-12-23,2024-12-23,8,30349,1590,535,416,143104,130.39,1.64,8.37,0.0524,0.08200628930817609,0.2616,0.3134375,1097.507477567298
NY-CMP-1110,"Paid Ads","Working Women","WhatsApp, Instagram, Google",Bengali,"College Students",2025-04-29,2025-04-29,6,93228,5488,2887,1070,739370,249.36,1.77,10.13,0.0589,0.04543731778425656,0.1950,0.23304672897196263,2965.0705806865576
NY-CMP-1111,Influencer,"College Students",Google,Bengali,"Premium Shoppers",2025-05-27,2025-05-27,16,32725,917,353,262,133096,277.31,0.83,4.68,0.0280,0.30241003271537625,0.2857,1.0584351145038169,479.95384227038335
